Epoch,Train Loss,Validation Loss
0,6.344163256032126,6.283589680989583
1,6.163761496543884,6.069984515508016
2,5.869059136935642,5.661328236262004
3,5.379943038736071,5.05584438641866
4,4.675041028431484,4.2127030690511065
5,3.7521294823714664,3.1659816900889077
6,2.676006372485842,2.0727520982424417
7,1.7486586315291268,1.482389787832896
8,1.467687149133001,1.4540993372599285
9,1.4463029844420296,1.4464570085207622
10,1.4361948136772429,1.4399401545524597
11,1.4218071464981352,1.4326521754264832
12,1.4232526293822698,1.425874928633372
13,1.4201879075595312,1.418907364209493
14,1.4071859121322632,1.4170572360356648
eval,1.3696135878562927,1.4196823835372925
