Epoch,Train Loss,Validation Loss
0,6.247986384800503,6.008638143539429
1,5.684195697307587,5.326867024103801
2,4.8735835041318625,4.313986698786418
3,3.6940282540661946,2.9090723991394043
4,2.245812952518463,1.5853058099746704
5,1.4792890059096473,1.4619933764139812
6,1.4363464159624917,1.4445534547170003
7,1.4279864302703313,1.4368692636489868
8,1.4243861543280738,1.4305201768875122
9,1.4211902107511247,1.414127250512441
10,1.4146010620253426,1.4125168919563293
11,1.4005963312728065,1.4075823227564495
12,1.4001314618757792,1.3954255978266399
13,1.389067068696022,1.389740765094757
14,1.376491489154952,1.3842387398084004
eval,1.3354613929986954,1.3856189250946045
